HOMELON,HOMELAT,HOME_FED,TOTAL_PLAYERS,CLUB
2.82,41.96,UEFA,3,Girona
2.88,51.21,CONMEBOL,1,Oostende
3.13,50.61,UEFA,1,Lille
3.18,51.19,UEFA,1,Cercle Brugge  
3.18,51.19,UEFA,1,Club Brugge  
3.73,51.01,UEFA,2,Gent
3.73,51.01,UEFA,2,Gent II  
3.81,43.62,CONCACAF,1,Montpellier
3.98,51.11,UEFA,1,Lokeren
4.09,48.3,UEFA,1,Troyes
4.24,51.21,UEFA,1,Waasland-Beveren
4.29,50.83,UEFA,3,Anderlecht   
4.52,51.89,UEFA,5,Feyenoord
4.74,52.61,UEFA,1,AZ Alkmaar
4.83,45.72,UEFA,2,Lyon
4.94,52.31,UEFA,4,Ajax
5.06,47.32,UEFA,3,Dijon
5.39,43.26,UEFA,4,Marseille
5.46,51.44,UEFA,3,PSV
5.53,51,AFC,1,Genk
5.54,50.6,UEFA,2,Standard Liege  
5.93,52.95,AFC,1,Heerenveen
6.04,50.62,CAF,1,Eupen
6.15,49.1,CONMEBOL,1,Metz
6.38,51.17,UEFA,7,Borussia Mönchengladbach
6.62,46.53,UEFA,1,Lausanne-Sport
6.73,51.26,CONMEBOL,1,Fortuna Dusseldorf  
6.87,50.93,AFC,1,1 FC Koln 
7,51.03,UEFA,2,Bayer Leverkusen  
7.06,51.55,UEFA,4,Schalke 4  
7.19,43.7,UEFA,1,Nice
7.23,51.48,UEFA,1,VfL Bochum  
7.37,5.1,UEFA,1,Enyimba
7.41,43.72,CONCACAF,7,Monaco
7.45,51.49,UEFA,7,Borussia Dortmund  
7.62,47.54,UEFA,1,Basel
7.64,45.1,CONMEBOL,11,Juventus
7.65,45.04,CONCACAF,4,Torino
8.22,49.98,UEFA,1,Mainz 5  
8.3,47.03,UEFA,1,Luzern
8.5,47.38,UEFA,1,Grasshopper
8.64,49.33,UEFA,1,SV Sandhausen  
8.64,50.06,UEFA,6,Eintracht Frankfurt  
8.67,49.85,UEFA,1,Darmstadt 98  
8.83,53.06,UEFA,3,Werder Bremen  
8.86,49.23,UEFA,2,1899 Hoffenheim  
8.95,44.41,UEFA,2,Genoa
8.95,44.41,AFC,4,Sampdoria
9.12,45.47,CONMEBOL,4,Internazionale
