COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
RUS,6,MF,Denis,Cheryshev,26,12,1990,27,14,3,ESP,Villarreal   
TUN,15,MF,Ahmed,Khalil,21,12,1994,23,3,0,TUN,Club Africain  
NGA,17,MF,Ogenyi,Onazi,25,12,1992,25,50,1,TUR,Trabzonspor   
AUS,4,FW,Tim,Cahill,6,12,1979,38,106,50,UNA,
ARG,15,MF,Enzo,Pérez,22,2,1986,32,24,1,ARG,River Plate  
BRA,8,MF,Renato,Augusto,8,2,1988,30,29,5,CHI,Beijing Sinobo Guoan 
KOR,19,DF,Kim,Young-gwon,27,2,1990,28,55,2,CHI,Guangzhou Evergrande  
DEN,7,MF,William,Kvist,24,2,1985,33,81,2,DEN,Copenhagen   
EGY,9,FW,Marwan,Mohsen,26,2,1989,29,25,4,EGY,Al Ahly  
ESP,16,DF,Nacho,Monreal,26,2,1986,32,22,1,ENG,Arsenal   
ISL,18,DF,Hörður,Björgvin Magnússon,11,2,1993,25,18,2,ENG,Bristol City  
DEN,16,GK,Jonas,Lössl,1,2,1989,29,1,0,ENG,Huddersfield Town  
SWE,18,DF,Pontus,Jansson,13,2,1991,27,16,0,ENG,Leeds United  
ARG,17,DF,Nicolás,Otamendi,12,2,1988,30,56,4,ENG,Manchester City  
ENG,16,DF,Phil,Jones,21,2,1992,26,25,0,ENG,Manchester United  
CRC,8,DF,Bryan,Oviedo,18,2,1990,28,45,1,ENG,Sunderland   
TUN,10,MF,Wahbi,Khazri,8,2,1991,27,38,13,ENG,Sunderland AFC  
DEN,10,MF,Christian,Eriksen,14,2,1992,26,80,23,ENG,Tottenham Hotspur  
POR,1,GK,Rui,Patrício,15,2,1988,30,72,0,ENG,Wolverhampton Wanderers  
ISL,13,GK,Rúnar,Alex Rúnarsson,18,2,1995,23,3,0,FRA,Dijon   
COL,9,FW,Radamel,Falcao,10,2,1986,32,75,30,FRA,Monaco   
POL,15,DF,Kamil,Glik,3,2,1988,30,59,4,FRA,Monaco   
ARG,11,MF,Ángel,Di Maria,14,2,1988,30,95,19,FRA,Paris Saint-Germain  
BRA,10,FW,Neymar,,5,2,1992,26,87,56,FRA,Paris Saint-Germain  
FRA,23,GK,Alphonse,Areola,27,2,1993,25,0,0,FRA,Paris Saint-Germain  
URU,21,FW,Edinson,Cavani,14,2,1987,31,104,43,FRA,Paris Saint-Germain  
SEN,18,FW,Ismaïla,Sarr,25,2,1998,20,17,3,FRA,Rennes   
GER,18,DF,Joshua,Kimmich,8,2,1995,23,31,3,GER,Bayern Munich  
GER,19,MF,Sebastian,Rudy,28,2,1990,28,26,1,GER,Bayern Munich  
ISL,11,FW,Alfreð,Finnbogason,1,2,1989,29,49,14,GER,FC Augsburg  
KOR,13,MF,Koo,Ja-cheol,27,2,1989,29,69,19,GER,FC Augsburg  
AUS,7,FW,Mathew,Leckie,4,2,1991,27,55,8,GER,Hertha BSC  
GER,14,MF,Leon,Goretzka,6,2,1995,23,15,6,GER,Schalke 4  
SUI,7,FW,Breel,Embolo,14,2,1997,21,27,3,GER,Schalke 4  
ISL,19,MF,Rúrik,Gíslason,25,2,1988,30,49,3,GER,SV Sandhausen  
IRN,3,MF,Ehsan,Hajsafi,25,2,1990,28,93,6,GRE,Olympiacos   
PAN,23,DF,Felipe,Baloy,24,2,1981,37,103,4,GUA,Municipal   
CRC,3,DF,Giancarlo,González,8,2,1988,30,70,2,ITA,Bologna   
COL,6,MF,Carlos,Sánchez,6,2,1986,32,86,0,ITA,Fiorentina   
CRO,19,MF,Milan,Badelj,25,2,1989,29,38,1,ITA,Fiorentina   
URU,17,MF,Diego,Laxalt,7,2,1993,25,8,0,ITA,Genoa   
CRO,4,MF,Ivan,Perišić,2,2,1989,29,68,18,ITA,Internazionale   
SRB,20,MF,Sergej,Milinković-Savić,27,2,1995,23,6,0,ITA,Lazio   
POL,7,FW,Arkadiusz,Milik,28,2,1994,24,41,12,ITA,Napoli   
POL,8,MF,Karol,Linetty,2,2,1995,23,20,1,ITA,Sampdoria   
URU,14,MF,Lucas,Torreira,11,2,1996,22,6,0,ITA,Sampdoria   
DEN,17,DF,Jens,Stryger Larsen,21,2,1991,27,15,1,ITA,Udinese   
JPN,23,GK,Kōsuke,Nakamura,27,2,1995,23,4,0,JPN,Kashiwa Reysol  
JPN,6,DF,Wataru,Endō,9,2,1993,25,12,0,JPN,Urawa Red Diamonds 
MEX,4,DF,Rafael,Márquez,13,2,1979,39,146,19,MEX,Atlas   
ARG,1,GK,Nahuel,Guzmán,10,2,1986,32,6,0,MEX,UANL   
MEX,20,MF,Javier,Aquino,11,2,1990,28,53,0,MEX,UANL   
PER,1,GK,Pedro,Gallese,23,2,1990,28,41,0,MEX,Veracruz   
ISL,3,DF,Samúel,Friðjónsson,22,2,1996,22,4,1,NOR,Vålerenga   
POL,17,MF,Sławomir,Peszko,19,2,1985,33,43,2,POL,Lechia Gdańsk  
SUI,9,FW,Haris,Seferović,22,2,1992,26,53,12,POR,Benfica   
RUS,10,FW,Fyodor,Smolov,5,2,1990,28,35,12,RUS,Krasnodar   
SRB,5,DF,Uroš,Spajić,13,2,1993,25,5,0,RUS,Krasnodar   
CRO,5,DF,Vedran,Ćorluka,5,2,1986,32,100,4,RUS,Lokomotiv Moscow  
POR,4,MF,Manuel,Fernandes,5,2,1986,32,14,3,RUS,Lokomotiv Moscow  
ISL,9,FW,Björn,Bergmann Sigurðarson,26,2,1991,27,15,1,RUS,Rostov   
RUS,11,MF,Roman,Zobnin,11,2,1994,24,15,0,RUS,Spartak Moscow  
SRB,6,DF,Branislav,Ivanović,22,2,1984,34,105,13,RUS,Zenit Saint Petersburg 
KSA,23,DF,Motaz,Hawsawi,17,2,1992,26,20,0,KSA, Al-Ahli  
KSA,21,GK,Yasser,Al-Mosailem,27,2,1984,34,33,0,KSA, Al-Ahli  
SRB,18,MF,Nemanja,Radonjić,15,2,1996,22,4,0,SER,Red Star Belgrade 
KOR,12,DF,Kim,Min-woo,25,2,1990,28,22,1,KOR, Sangju Sangmu 
FRA,21,DF,Lucas,Hernández,14,2,1996,22,7,0,ESP,Atlético Madrid  
URU,3,DF,Diego,Godín,16,2,1986,32,120,8,ESP,Atlético Madrid  
ESP,3,DF,Gerard,Piqué,2,2,1987,31,101,5,ESP,Barcelona   
DEN,23,MF,Pione,Sisto,4,2,1995,23,16,1,ESP,Celta   
BRA,5,MF,Casemiro,,23,2,1992,26,26,0,ESP,Real Madrid  
POR,7,FW,Cristiano,Ronaldo,5,2,1985,33,153,85,ESP,Real Madrid  
BEL,18,MF,Adnan,Januzaj,5,2,1995,23,8,0,ESP,Real Sociedad  
SUI,6,DF,Michael,Lang,8,2,1991,27,25,2,SUI,Basel   
TUN,20,MF,Ghailene,Chaalali,28,2,1994,24,7,1,TUN,Espérance   
POR,3,DF,Pepe,(Vice-captain),26,2,1983,35,98,5,TUR,Beşiktaş   
MAR,17,DF,Nabil,Dirar,25,2,1986,32,36,3,TUR,Fenerbahçe   
MAR,10,MF,Younès,Belhanda,25,2,1990,28,50,5,TUR,Galatasaray   
PAN,13,DF,Adolfo,Machado,14,2,1985,33,76,1,USA,Houston Dynamo  
PAN,2,DF,Michael,Amir Murillo,15,2,1996,22,24,2,USA,New York Red Bulls
CRC,20,MF,David,Guzmán,18,2,1990,28,47,0,USA,Portland Timbers  
PAN,20,MF,Aníbal,Godoy,10,2,1990,28,91,2,USA,San Jose Earthquakes 
SWE,13,MF,Gustav,Svensson,7,2,1987,31,14,0,USA,Seattle Sounders  
ARG,22,MF,Cristian,Pavón,21,1,1996,22,7,0,ARG,Boca Juniors  
ARG,13,MF,Maximiliano,Meza,15,1,1992,26,4,0,ARG,Independiente   
COL,20,MF,Juan,Fernando Quintero,18,1,1993,25,17,3,ARG,River Plate  
AUS,17,MF,Daniel,Arzani,4,1,1999,19,4,1,AUS,Melbourne City  
KOR,11,FW,Hwang,Hee-chan,26,1,1996,22,16,2,AUT,Red Bull Salzburg 
NGA,3,DF,Elderson,Echiéjilé,20,1,1988,30,59,3,BEL,Cercle Brugge  
PAN,19,MF,Ricardo,Ávila,4,1,1997,21,6,0,BEL,Gent II  
PER,9,FW,Paolo,Guerrero,1,1,1984,34,91,35,BRA,Flamengo   
COL,19,FW,Miguel,Borja,26,1,1993,25,7,2,BRA,Palmeiras   
CRC,19,DF,Kendall,Waston,1,1,1988,30,26,2,CAN,Vancouver Whitecaps  
SRB,3,DF,Duško,Tošić,19,1,1985,33,26,1,CHI,Guangzhou R&F  
BEL,6,MF,Axel,Witsel,12,1,1989,29,92,9,CHI,Tianjin Quanjian  
COL,8,MF,Abel,Aguilar,6,1,1985,33,71,7,COL,Deportivo Cali  
CRC,9,FW,Daniel,Colindres,10,1,1985,33,14,0,CRC,Saprissa  
CRO,1,GK,Dominik,Livaković,9,1,1995,23,1,0,CRO,Dinamo Zagreb  
